Oil_and_Gas_Company_Name;Verification_per_Month;Daily_Workload
Petro Power EP;190;8
Energy Source EP;320;13
Gas Innovators Ltd.;175;7
Oil Dynamics Ltd.;61;3
Fuel Fusion  Ltd.;64;3
Petro Tech  EP;280;12
Gas Solutions  Ltd.;240;10
Energy Ventures  Ltd.;63;3
Oil Quest  Ltd.;60;3
PetroWave  Ltd.;69;3
Gas Nexus  Ltd.;210;9
Fuel Masters  EP;260;11
Energy Axis  Ltd.;68;3
Oil Dynamics  Ltd.;44;2
PetroPulse EP;165;7
PetroNusa EP;200;8
FuelCraft  Ltd.;43;2
Energy Edge EP;68;3
OilLink  Ltd.  Ltd.;63;3
PetroCrest  Ltd.;33;2
Gas Nexus Ltd.;61;3
FuelGenius EP;160;7
Energy Sphere  Ltd.;32;2
Oil Optics Ltd.;30;2
PetroWise Ltd. ;39;2
Gas Dynamics Ltd.;20;1
Fuel Fusion  Ltd.;15;1
Energy Pulse EP;65;3
Oil Innovators  Ltd.;80;4
PetroSynergy  Ltd.;38;2
